iter	Passed	Remaining
685	20484	9376
686	20513	9346
687	20542	9315
688	20573	9286
689	20602	9256
690	20631	9226
691	20660	9195
692	20703	9171
693	20732	9141
694	20761	9111
695	20791	9081
696	20821	9051
697	20850	9021
698	20879	8991
699	20908	8960
700	20938	8930
701	20966	8900
702	20997	8870
703	21026	8840
704	21056	8810
705	21084	8780
706	21114	8750
707	21144	8720
708	21174	8690
709	21203	8660
710	21237	8632
711	21266	8602
712	21297	8572
713	21326	8542
714	21355	8512
715	21385	8482
716	21415	8452
717	21445	8422
718	21474	8392
719	21504	8362
720	21533	8332
721	21562	8302
722	21591	8272
723	21620	8242
724	21651	8212
725	21679	8181
726	21709	8152
727	21737	8121
728	21788	8099
729	21816	8069
730	21845	8039
731	21876	8009
732	21906	7979
733	21934	7949
734	21963	7918
735	21992	7888
736	22022	7858
737	22050	7828
738	22079	7798
739	22110	7768
740	22140	7738
741	22169	7708
742	22198	7678
743	22227	7648
744	22256	7618
745	22285	7587
746	22317	7558
747	22346	7528
748	22376	7498
749	22406	7468
750	22435	7438
751	22466	7409
752	22495	7379
753	22524	7348
754	22555	7319
755	22584	7289
756	22613	7259
757	22642	7228
758	22671	7198
759	22700	7168
760	22729	7138
761	22758	7108
762	22790	7079
763	22818	7048
764	22848	7018
765	22877	6988
766	22906	6958
767	22935	6928
768	22965	6898
769	22994	6868
770	23025	6839
771	23055	6809
772	23084	6778
773	23112	6748
774	23141	6718
775	23170	6688
776	23199	6658
777	23230	6628
778	23261	6599
779	23291	6569
780	23321	6539
781	23349	6509
782	23378	6479
783	23407	6449
784	23437	6419
785	23469	6389
786	23498	6359
787	23527	6329
788	23556	6299
789	23585	6269
790	23615	6239
791	23644	6209
792	23674	6179
793	23703	6149
794	23732	6119
795	23761	6089
796	23790	6059
797	23819	6029
798	23848	5999
799	23876	5969
800	23906	5939
801	23936	5909
802	23965	5879
803	23994	5849
804	24024	5819
805	24052	5789
806	24081	5759
807	24110	5729
808	24140	5699
809	24169	5669
810	24199	5639
811	24227	5609
812	24256	5579
813	24286	5549
814	24315	5519
815	24344	5489
816	24375	5459
817	24404	5429
818	24436	5400
819	24465	5370
820	24494	5340
821	24523	5310
822	24553	5280
823	24583	5250
824	24614	5221
825	24643	5191
826	24672	5161
827	24700	5131
828	24729	5101
829	24758	5070
830	24787	5041
831	24818	5011
832	24847	4981
833	24876	4951
834	24905	4921
835	24935	4891
836	24964	4861
837	24993	4831
838	25028	4802
839	25059	4773
840	25088	4743
841	25117	4713
842	25147	4683
843	25176	4653
844	25205	4623
845	25235	4593
846	25267	4564
847	25297	4534
848	25326	4504
849	25354	4474
850	25383	4444
851	25412	4414
852	25444	4384
853	25476	4355
854	25505	4325
855	25534	4295
856	25564	4265
857	25592	4235
858	25624	4206
859	25654	4176
860	25684	4146
861	25712	4116
862	25743	4086
863	25772	4056
864	25802	4026
865	25830	3996
866	25860	3966
867	25888	3937
868	25919	3907
869	25948	3877
870	25977	3847
871	26006	3817
872	26035	3787
873	26064	3757
874	26094	3727
875	26123	3697
876	26154	3668
877	26183	3638
878	26212	3608
879	26241	3578
880	26273	3548
881	26302	3518
882	26331	3489
883	26360	3459
884	26389	3429
885	26418	3399
886	26447	3369
887	26476	3339
888	26505	3309
889	26533	3279
890	26563	3249
891	26592	3219
892	26626	3190
893	26654	3160
894	26684	3130
895	26713	3100
896	26742	3070
897	26770	3040
898	26799	3010
899	26830	2981
900	26859	2951
901	26888	2921
902	26918	2891
903	26946	2861
904	26976	2831
905	27005	2801
906	27035	2772
907	27068	2742
908	27097	2712
909	27126	2682
910	27156	2653
911	27185	2623
912	27215	2593
913	27243	2563
914	27275	2533
915	27308	2504
916	27336	2474
917	27365	2444
918	27394	2414
919	27425	2384
920	27458	2355
921	27487	2325
922	27518	2295
923	27547	2265
924	27576	2235
925	27605	2206
926	27635	2176
927	27666	2146
928	27696	2116
929	27725	2086
930	27757	2057
931	27786	2027
932	27815	1997
933	27845	1967
934	27906	1940
935	27937	1910
936	27969	1880
937	28000	1850
938	28032	1821
939	28063	1791
940	28095	1761
941	28126	1731
942	28157	1701
943	28188	1672
944	28218	1642
945	28248	1612
946	28278	1582
947	28307	1552
948	28336	1522
949	28365	1492
950	28410	1463
951	28438	1433
952	28469	1404
953	28497	1374
954	28526	1344
955	28556	1314
956	28587	1284
957	28627	1255
958	28657	1225
959	28686	1195
960	28715	1165
961	28745	1135
962	28774	1105
963	28803	1075
964	28862	1046
965	28893	1016
966	28923	987
967	28953	957
968	28982	927
969	29011	897
